driver,driver_number,lap,lap_time,sector1,sector2,sector3,tyre,tyre_life,fresh_tyre,stint,position,pit_in,pit_out,speed_i1,speed_i2,speed_fl,speed_st,is_personal_best
ALO,14,25.0,77.685,20.514,36.74,20.431,HARD,10.0,False,2.0,6.0,,,196.0,183.0,249.0,253.0,False
ALO,14,26.0,76.293,19.94,36.112,20.241,HARD,11.0,False,2.0,6.0,,,205.0,191.0,250.0,269.0,False
ALO,14,27.0,76.744,20.041,36.452,20.251,HARD,12.0,False,2.0,6.0,,,198.0,188.0,247.0,262.0,False
ALO,14,28.0,76.414,20.113,36.177,20.124,HARD,13.0,False,2.0,6.0,,,195.0,189.0,246.0,261.0,False
ALO,14,29.0,76.279,20.058,36.094,20.127,HARD,14.0,False,2.0,6.0,,,204.0,189.0,247.0,263.0,False
ALO,14,30.0,77.307,20.46,36.17,20.677,HARD,15.0,False,2.0,6.0,,,205.0,190.0,250.0,262.0,False
ALO,14,31.0,76.142,20.187,35.973,19.982,HARD,16.0,False,2.0,6.0,,,204.0,190.0,251.0,263.0,False
ALO,14,32.0,76.088,19.874,35.834,20.38,HARD,17.0,False,2.0,6.0,,,205.0,193.0,252.0,269.0,False
ALO,14,33.0,75.823,19.827,35.918,20.078,HARD,18.0,False,2.0,6.0,,,205.0,193.0,251.0,265.0,False
ALO,14,34.0,77.347,21.152,36.128,20.067,HARD,19.0,False,2.0,6.0,,,200.0,190.0,252.0,270.0,False
ALO,14,35.0,76.024,19.912,35.979,20.133,HARD,20.0,False,2.0,6.0,,,207.0,191.0,253.0,268.0,False
ALO,14,36.0,76.2,19.973,36.032,20.195,HARD,21.0,False,2.0,6.0,,,208.0,193.0,252.0,271.0,False
LEC,16,1.0,84.481,,37.212,21.765,MEDIUM,1.0,True,1.0,2.0,,,187.0,181.0,253.0,269.0,False
LEC,16,2.0,104.769,34.191,44.995,25.583,MEDIUM,2.0,True,1.0,2.0,,,111.0,174.0,157.0,236.0,True
LEC,16,3.0,108.805,31.019,49.594,28.192,MEDIUM,3.0,True,1.0,2.0,,,156.0,152.0,202.0,238.0,False
LEC,16,4.0,101.248,31.076,48.358,21.814,MEDIUM,4.0,True,1.0,2.0,,,148.0,99.0,262.0,239.0,True
LEC,16,5.0,78.801,20.597,37.317,20.887,MEDIUM,5.0,True,1.0,2.0,,,196.0,186.0,254.0,273.0,True
LEC,16,6.0,79.267,20.621,37.804,20.842,MEDIUM,6.0,True,1.0,2.0,,,195.0,184.0,254.0,271.0,False
LEC,16,7.0,78.656,20.633,37.281,20.742,MEDIUM,7.0,True,1.0,2.0,,,197.0,185.0,254.0,273.0,True
LEC,16,8.0,77.99,20.357,36.978,20.655,MEDIUM,8.0,True,1.0,2.0,,,196.0,189.0,254.0,273.0,True
LEC,16,9.0,81.212,20.351,39.971,20.89,MEDIUM,9.0,True,1.0,2.0,,,197.0,179.0,256.0,271.0,False
LEC,16,10.0,79.912,20.059,38.874,20.979,MEDIUM,10.0,True,1.0,2.0,,,203.0,188.0,263.0,264.0,False
LEC,16,11.0,79.89,20.125,39.049,20.716,MEDIUM,11.0,True,1.0,2.0,,,202.0,185.0,262.0,235.0,False
LEC,16,12.0,76.439,20.313,35.908,20.218,MEDIUM,12.0,True,1.0,2.0,,,198.0,191.0,257.0,275.0,True
LEC,16,13.0,76.207,19.961,36.049,20.197,MEDIUM,13.0,True,1.0,2.0,,,204.0,192.0,256.0,275.0,True
